time,HEAD_1_38_35,HEAD_1_38_39,HEAD_1_39_37,HEAD_1_40_35,HEAD_1_40_39,HEAD_3_38_35,HEAD_3_38_39,HEAD_3_39_37,HEAD_3_40_35,HEAD_3_40_39
31.00000000000,2556.0,2632.3,2597.0,2576.1,2628.6,2557.4,2623.7,2592.8,2573.0,2624.4
59.00000000000,2555.8,2632.2,2596.8,2575.5,2628.4,2557.2,2623.2,2592.4,2572.2,2623.5
90.00000000000,2555.6,2632.1,2596.7,2574.8,2628.3,2556.9,2622.5,2591.8,2571.4,2622.7
120.0000000000,2555.5,2632.0,2596.6,2574.2,2628.2,2556.5,2621.4,2590.9,2570.5,2621.7
151.0000000000,2555.6,2632.1,2596.7,2574.3,2628.2,2556.7,2621.2,2591.2,2571.4,2622.2
181.0000000000,2555.7,2632.1,2596.8,2574.6,2628.2,2556.9,2620.9,2591.4,2572.1,2622.6
212.0000000000,2555.8,2632.2,2596.9,2575.0,2628.3,2556.9,2620.0,2591.1,2572.3,2622.6
243.0000000000,2556.1,2632.3,2597.1,2575.9,2628.4,2557.5,2620.9,2592.1,2573.8,2623.9
273.0000000000,2556.3,2632.3,2597.1,2576.3,2628.5,2557.8,2622.1,2592.8,2574.3,2624.8
304.0000000000,2556.3,2632.2,2597.1,2576.5,2628.5,2557.8,2622.9,2592.9,2574.2,2625.2
334.0000000000,2556.2,2632.1,2596.9,2576.4,2628.4,2557.9,2623.7,2593.1,2573.9,2625.2
365.0000000000,2556.2,2632.0,2596.8,2576.1,2628.3,2557.7,2623.8,2593.0,2573.3,2624.8
396.0000000000,2556.1,2631.9,2596.7,2575.6,2628.3,2557.5,2623.5,2592.6,2572.6,2624.1
424.0000000000,2555.9,2631.8,2596.5,2575.0,2628.1,2557.3,2622.8,2592.1,2571.8,2623.3
455.0000000000,2555.7,2631.6,2596.4,2574.3,2628.0,2556.9,2622.0,2591.5,2571.0,2622.4
485.0000000000,2555.6,2631.6,2596.3,2573.9,2627.9,2556.5,2620.6,2590.5,2570.6,2621.4
516.0000000000,2555.7,2631.7,2596.4,2574.2,2627.9,2556.9,2620.5,2591.0,2571.6,2622.0
546.0000000000,2556.1,2631.9,2596.7,2574.8,2628.1,2557.3,2620.5,2591.4,2572.3,2622.4
577.0000000000,2556.0,2631.9,2596.7,2575.1,2628.0,2556.7,2618.1,2589.8,2571.8,2621.3
608.0000000000,2556.1,2631.8,2596.7,2575.6,2628.0,2557.1,2619.0,2590.7,2573.1,2622.8
638.0000000000,2556.0,2631.8,2596.7,2576.0,2628.0,2557.0,2620.0,2591.1,2573.6,2624.0
669.0000000000,2555.8,2631.6,2596.5,2576.0,2627.9,2556.8,2620.6,2591.0,2573.2,2623.9
699.0000000000,2555.7,2631.5,2596.4,2575.9,2627.9,2557.1,2622.4,2592.0,2573.3,2624.3
730.0000000000,2555.6,2631.4,2596.2,2575.5,2627.8,2557.1,2622.9,2592.2,2572.7,2624.0
761.0000000000,2555.5,2631.3,2596.1,2575.0,2627.7,2556.9,2622.7,2591.9,2572.0,2623.3
789.0000000000,2555.3,2631.2,2596.0,2574.5,2627.6,2556.6,2622.1,2591.4,2571.2,2622.5
820.0000000000,2555.1,2631.1,2595.8,2573.7,2627.4,2556.3,2621.3,2590.8,2570.4,2621.6
850.0000000000,2554.9,2631.0,2595.7,2573.2,2627.3,2556.0,2620.3,2590.2,2569.8,2620.9
881.0000000000,2555.2,2631.1,2595.9,2573.5,2627.4,2556.3,2620.1,2590.4,2570.6,2621.1
911.0000000000,2555.4,2631.3,2596.1,2573.9,2627.5,2556.6,2620.1,2590.8,2571.5,2621.8
942.0000000000,2555.7,2631.4,2596.3,2574.5,2627.6,2556.9,2620.0,2591.2,2572.3,2622.3
973.0000000000,2556.0,2631.5,2596.5,2575.4,2627.8,2557.4,2620.4,2591.7,2573.4,2623.2
1003.000000000,2556.3,2631.6,2596.7,2576.1,2627.9,2557.8,2621.5,2592.4,2574.2,2624.2
1034.000000000,2556.1,2631.5,2596.5,2576.0,2627.8,2557.1,2620.7,2591.3,2573.2,2623.4
1064.000000000,2556.0,2631.4,2596.4,2575.8,2627.7,2557.4,2622.1,2592.0,2573.2,2623.8
1095.000000000,2555.9,2631.2,2596.2,2575.4,2627.6,2557.3,2622.5,2592.1,2572.6,2623.4
1126.000000000,2555.7,2631.1,2596.1,2574.9,2627.5,2557.1,2622.3,2591.7,2571.8,2622.8
1154.000000000,2555.6,2631.0,2596.0,2574.3,2627.4,2556.9,2621.9,2591.3,2571.1,2622.0
1185.000000000,2555.4,2630.9,2595.8,2573.6,2627.2,2556.6,2621.3,2590.9,2570.5,2621.4
1215.000000000,2555.3,2630.8,2595.8,2573.4,2627.1,2556.5,2621.1,2590.8,2570.5,2621.4
1246.000000000,2555.5,2630.9,2595.9,2573.7,2627.2,2556.7,2621.0,2591.0,2571.3,2621.6
1276.000000000,2555.8,2631.1,2596.1,2574.4,2627.3,2557.1,2621.5,2591.6,2572.3,2622.5
1307.000000000,2556.1,2631.2,2596.4,2575.2,2627.5,2557.5,2621.4,2592.0,2573.3,2623.0
1338.000000000,2556.5,2631.4,2596.6,2576.0,2627.7,2558.0,2622.2,2592.7,2574.3,2624.2
1368.000000000,2556.7,2631.4,2596.7,2576.6,2627.8,2558.3,2623.0,2593.2,2574.9,2625.0
1399.000000000,2556.8,2631.4,2596.7,2577.0,2627.9,2558.5,2624.2,2593.7,2575.2,2625.7
1429.000000000,2556.8,2631.3,2596.6,2577.0,2627.8,2558.5,2624.8,2593.8,2574.8,2625.5
1460.000000000,2556.7,2631.2,2596.5,2576.7,2627.8,2558.3,2624.6,2593.5,2574.1,2625.0
1491.000000000,2556.6,2631.1,2596.3,2576.2,2627.7,2558.1,2624.1,2593.1,2573.4,2624.2
1519.000000000,2556.5,2631.0,2596.2,2575.7,2627.6,2557.9,2623.4,2592.5,2572.6,2623.4
1550.000000000,2556.3,2630.9,2596.1,2575.0,2627.5,2557.5,2622.5,2591.9,2571.8,2622.4
1580.000000000,2556.0,2630.9,2596.0,2574.3,2627.4,2556.9,2620.6,2590.6,2570.6,2620.9
1611.000000000,2556.1,2630.9,2596.1,2574.2,2627.4,2557.1,2620.5,2590.8,2571.1,2621.1
1641.000000000,2556.2,2631.0,2596.2,2574.4,2627.4,2557.3,2620.6,2591.2,2571.9,2621.7
1672.000000000,2556.5,2631.2,2596.5,2575.1,2627.6,2557.7,2620.6,2591.6,2572.9,2622.2
1703.000000000,2556.8,2631.3,2596.7,2575.9,2627.8,2558.1,2621.1,2592.2,2573.9,2623.1
1733.000000000,2557.0,2631.4,2596.9,2576.5,2627.9,2558.4,2621.9,2592.8,2574.6,2624.0
1764.000000000,2557.1,2631.4,2596.8,2576.7,2627.9,2558.6,2623.1,2593.2,2574.6,2624.7
1794.000000000,2557.0,2631.3,2596.7,2576.6,2627.8,2558.5,2623.7,2593.3,2574.3,2624.7
1825.000000000,2556.9,2631.2,2596.6,2576.3,2627.8,2558.3,2623.6,2593.1,2573.7,2624.2
1856.000000000,2556.7,2631.1,2596.5,2575.8,2627.7,2558.1,2623.2,2592.6,2572.9,2623.4
1884.000000000,2556.5,2631.0,2596.4,2575.3,2627.5,2557.8,2622.5,2592.1,2572.2,2622.6
1915.000000000,2556.3,2630.8,2596.2,2574.6,2627.4,2557.5,2621.5,2591.4,2571.3,2621.6
1945.000000000,2556.1,2630.8,2596.1,2574.0,2627.2,2557.2,2620.9,2590.7,2570.8,2620.9
1976.000000000,2556.2,2630.8,2596.2,2574.1,2627.3,2557.3,2621.0,2591.0,2571.3,2621.2
2006.000000000,2556.4,2631.0,2596.4,2574.5,2627.3,2557.6,2621.0,2591.3,2572.2,2621.9
2037.000000000,2556.8,2631.2,2596.6,2575.3,2627.5,2558.0,2621.0,2591.9,2573.3,2622.6
2068.000000000,2557.1,2631.3,2596.9,2576.2,2627.7,2558.4,2621.4,2592.5,2574.3,2623.5
2098.000000000,2557.3,2631.4,2597.0,2576.9,2627.8,2558.8,2622.0,2593.1,2575.1,2624.3
2129.000000000,2557.5,2631.4,2597.1,2577.3,2627.9,2559.0,2623.3,2593.7,2575.4,2625.1
2159.000000000,2557.4,2631.4,2597.0,2577.2,2627.9,2558.9,2624.0,2593.8,2575.0,2625.1
2190.000000000,2557.3,2631.3,2596.9,2576.9,2627.8,2558.8,2624.0,2593.5,2574.3,2624.6
2221.000000000,2557.1,2631.1,2596.7,2576.4,2627.7,2558.5,2623.4,2593.0,2573.6,2623.7
2249.000000000,2556.9,2631.0,2596.6,2575.9,2627.6,2558.2,2622.5,2592.5,2572.8,2622.9
2280.000000000,2556.7,2630.9,2596.5,2575.2,2627.5,2557.9,2622.0,2591.9,2571.9,2622.1
2310.000000000,2556.6,2630.9,2596.4,2574.8,2627.4,2557.7,2621.6,2591.7,2571.9,2621.8
2341.000000000,2556.8,2631.0,2596.6,2575.1,2627.5,2557.9,2621.5,2591.9,2572.6,2622.2
2371.000000000,2556.9,2631.1,2596.7,2575.5,2627.6,2558.1,2621.2,2592.1,2573.3,2622.5
2402.000000000,2557.2,2631.3,2597.0,2576.3,2627.7,2558.5,2621.0,2592.5,2574.3,2623.1
2433.000000000,2557.6,2631.4,2597.2,2577.2,2627.9,2558.9,2621.6,2593.1,2575.4,2624.0
2463.000000000,2557.8,2631.5,2597.3,2577.9,2628.0,2559.3,2622.8,2593.8,2576.2,2625.1
2494.000000000,2557.8,2631.4,2597.3,2578.3,2628.1,2559.4,2624.1,2594.3,2576.4,2626.0
2524.000000000,2557.8,2631.4,2597.2,2578.2,2628.1,2559.4,2624.9,2594.5,2576.0,2626.1
2555.000000000,2557.7,2631.3,2597.1,2577.9,2628.1,2559.2,2624.9,2594.3,2575.3,2625.5
2586.000000000,2557.5,2631.2,2597.0,2577.5,2628.0,2559.0,2624.4,2593.8,2574.6,2624.8
2614.000000000,2557.4,2631.1,2596.9,2576.9,2627.9,2558.7,2623.7,2593.3,2573.8,2624.0
2645.000000000,2557.1,2631.0,2596.8,2576.3,2627.8,2558.3,2622.9,2592.7,2573.0,2623.1
2675.000000000,2557.0,2631.0,2596.7,2576.0,2627.8,2558.2,2622.4,2592.4,2573.0,2622.9
2706.000000000,2557.2,2631.1,2596.9,2576.2,2627.9,2558.3,2622.1,2592.5,2573.3,2623.1
2736.000000000,2557.1,2631.1,2596.9,2576.4,2627.8,2557.9,2620.4,2591.3,2573.0,2622.2
2767.000000000,2557.0,2631.1,2596.9,2576.7,2627.7,2557.5,2618.7,2590.3,2573.1,2621.6
2798.000000000,2557.0,2631.2,2596.9,2577.2,2627.8,2558.0,2620.2,2591.6,2574.5,2623.4
2828.000000000,2556.8,2631.1,2596.8,2577.3,2627.7,2557.8,2620.6,2591.5,2574.0,2623.7
2859.000000000,2556.7,2631.0,2596.7,2577.1,2627.7,2558.0,2622.2,2592.4,2574.1,2624.3
2889.000000000,2556.6,2630.9,2596.6,2576.8,2627.6,2558.0,2623.3,2592.8,2573.8,2624.5
2920.000000000,2556.4,2630.8,2596.5,2576.3,2627.6,2557.8,2623.5,2592.7,2573.1,2624.0
2951.000000000,2556.2,2630.7,2596.3,2575.6,2627.5,2557.5,2622.7,2592.1,2572.3,2623.2
2979.000000000,2556.0,2630.6,2596.2,2574.9,2627.4,2557.2,2622.2,2591.6,2571.5,2622.5
3010.000000000,2555.8,2630.5,2596.0,2574.2,2627.2,2556.9,2621.5,2591.1,2570.8,2621.7
3040.000000000,2555.7,2630.5,2596.0,2574.0,2627.2,2556.8,2621.2,2591.0,2570.8,2621.6
3071.000000000,2555.7,2630.5,2596.1,2574.1,2627.2,2556.9,2621.1,2591.2,2571.5,2621.9
3101.000000000,2555.8,2630.6,2596.2,2574.5,2627.3,2557.0,2620.5,2591.3,2572.2,2622.0
3132.000000000,2555.9,2630.7,2596.4,2575.1,2627.3,2556.9,2619.5,2590.9,2572.7,2622.0
3163.000000000,2556.1,2630.8,2596.5,2575.9,2627.4,2557.5,2620.9,2592.0,2574.0,2623.4
3193.000000000,2556.3,2630.8,2596.5,2576.5,2627.5,2557.8,2622.2,2592.8,2574.6,2624.6
3224.000000000,2556.1,2630.7,2596.4,2576.5,2627.4,2557.0,2620.9,2591.3,2573.4,2623.7
3254.000000000,2556.0,2630.6,2596.2,2576.4,2627.4,2557.4,2622.6,2592.3,2573.7,2624.4
3285.000000000,2555.9,2630.5,2596.1,2576.1,2627.3,2557.3,2623.1,2592.4,2573.2,2624.2
3316.000000000,2555.7,2630.4,2596.0,2575.5,2627.3,2557.1,2622.9,2592.1,2572.4,2623.6
3344.000000000,2555.6,2630.3,2595.9,2575.0,2627.2,2556.9,2622.3,2591.7,2571.7,2622.8
3375.000000000,2555.4,2630.2,2595.7,2574.3,2627.0,2556.6,2621.6,2591.2,2571.1,2622.2
3405.000000000,2555.2,2630.1,2595.6,2574.1,2626.9,2556.1,2619.8,2590.0,2570.7,2621.1
3436.000000000,2555.3,2630.2,2595.7,2574.2,2627.0,2556.5,2620.6,2590.8,2571.4,2622.1
3466.000000000,2555.2,2630.2,2595.7,2574.5,2626.9,2555.9,2618.3,2589.3,2571.1,2620.8
3497.000000000,2555.5,2630.3,2595.9,2575.2,2627.1,2556.7,2619.7,2590.8,2572.8,2622.4
3528.000000000,2555.6,2630.4,2595.9,2575.7,2627.1,2556.8,2619.9,2591.0,2573.3,2623.1
3558.000000000,2555.7,2630.4,2596.0,2576.3,2627.2,2557.2,2621.4,2592.0,2574.1,2624.4
3589.000000000,2555.6,2630.3,2595.9,2576.3,2627.2,2556.9,2621.4,2591.6,2573.6,2624.3
3619.000000000,2555.6,2630.2,2595.8,2576.1,2627.2,2557.1,2622.6,2592.1,2573.4,2624.5
3650.000000000,2555.5,2630.1,2595.7,2575.8,2627.1,2557.0,2622.8,2592.0,2572.8,2624.0
